game_id,gameCount,Team 1,Team 2,Team 1 Score,Team 2 Score,Team 1 Win,Team 2 Win,Team 1 Rushing Attempts,Team 2 Rushing Attempts,Team 1 Rushing Yards,Team 2 Rushing Yards,Team 1 YPC,Team 2 YPC,Team 1 Pass Completions,Team 2 Pass Completions,Team 1 Pass Attempts,Team 2 Pass Attempts,Team 1 Completion Percentage,Team 2 Completion Percentage,Team 1 YPA,Team 2 YPA,Team 1 Passing Yards,Team 2 Passing Yards,Team 1 Total Yards,Team 2 Total Yards,Team 1 Times Sacked,Team 2 Times Sacked,Team 1 Sack Yardage,Team 2 Sack Yardage,Team 1 3rd Down Conversions,Team 2 3rd Down Conversions,Team 1 3rd Down Attempts,Team 2 3rd Down Attempts,Team 1 3rd Down Conversion Rate,Team 2 3rd Down Conversion Rate,Team 1 Turnovers on Downs,Team 2 Turnovers on Downs,Team 1 Fumbles Lost,Team 2 Fumbles Lost,Team 1 Interceptions Thrown,Team 2 Interceptions Thrown,Team 1 Total Turnovers,Team 2 Total Turnovers,Team 1 Penalties,Team 2 Penalties,Team 1 Penalty Yardage,Team 2 Penalty Yardage
2016091100,0,CAR,DEN,20,21,0,1,32.0,29.0,157.0,148.0,4.9,5.1,18.0,18.0,33.0,26.0,54.50000000000001,69.19999999999999,5.3,6.1,176.0,159.0,333.0,307.0,3.0,2.0,-18.0,-19.0,9.0,5.0,15.0,10.0,60.0,50.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,8.0,4.0,85.0,22.0
2016091101,1,TB,ATL,31,24,1,0,28.0,22.0,90.0,52.0,3.2,2.4,23.0,27.0,32.0,39.0,71.89999999999999,69.19999999999999,8.8,8.3,281.0,322.0,371.0,374.0,0.0,3.0,0.0,-12.0,3.0,3.0,9.0,13.0,33.300000000000004,23.1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,7.0,48.0,74.0
2016091102,2,BUF,BAL,7,13,0,1,25.0,28.0,98.0,83.0,3.9,3.0,14.0,22.0,21.0,33.0,66.7,66.7,3.0,6.8,62.0,225.0,160.0,308.0,2.0,4.0,-16.0,-33.0,3.0,6.0,13.0,15.0,23.1,40.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,6.0,89.0,35.0
2016091103,3,CHI,HOU,14,23,0,1,20.0,35.0,73.0,129.0,3.6,3.7,16.0,22.0,29.0,35.0,55.2,62.9,6.4,6.1,185.0,215.0,258.0,344.0,5.0,2.0,-31.0,-16.0,4.0,12.0,13.0,20.0,30.8,60.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,6.0,30.0,69.0
2016091104,4,GB,JAX,27,23,1,0,25.0,26.0,95.0,48.0,3.8,1.8,20.0,24.0,34.0,39.0,58.8,61.5,5.9,7.7,199.0,300.0,294.0,348.0,1.0,3.0,0.0,-20.0,7.0,4.0,14.0,15.0,50.0,26.700000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,9.0,24.0,79.0
2016091105,5,SD,KC,27,33,0,1,32.0,19.0,155.0,83.0,4.8,4.4,25.0,34.0,36.0,48.0,69.39999999999999,70.8,6.5,6.9,233.0,330.0,388.0,413.0,1.0,3.0,-10.0,-33.0,7.0,5.0,15.0,14.0,46.7,35.699999999999996,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,6.0,30.0,46.0
2016091106,6,OAK,NO,35,34,1,0,26.0,22.0,167.0,88.0,6.4,4.0,24.0,28.0,38.0,42.0,63.2,66.7,8.4,10.0,319.0,419.0,486.0,507.0,0.0,1.0,0.0,-4.0,4.0,4.0,11.0,11.0,36.4,36.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,14.0,7.0,141.0,53.0
2016091107,7,NYJ,CIN,22,23,0,1,30.0,18.0,152.0,55.0,5.1,3.1,19.0,23.0,35.0,30.0,54.300000000000004,76.7,5.4,10.8,188.0,324.0,340.0,379.0,1.0,7.0,-1.0,-42.0,4.0,2.0,12.0,11.0,33.300000000000004,18.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,5.0,95.0,44.0
2016091108,8,CLE,PHI,10,29,0,1,20.0,34.0,126.0,133.0,6.3,3.9,12.0,22.0,26.0,37.0,46.2,59.5,6.5,7.3,168.0,270.0,294.0,403.0,3.0,2.0,-22.0,-8.0,2.0,5.0,10.0,15.0,20.0,33.300000000000004,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,7.0,15.0,46.0
2016091109,9,MIN,TEN,25,16,1,0,28.0,22.0,65.0,64.0,2.3,2.9,18.0,25.0,33.0,41.0,54.50000000000001,61.0,7.2,6.1,236.0,252.0,301.0,316.0,0.0,2.0,0.0,-19.0,6.0,8.0,14.0,14.0,42.9,57.099999999999994,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,2.0,39.0,10.0
