,game_id,gameCount,Team 1,Team 2,Team 1 Score,Team 2 Score,Team 1 Win,Team 2 Win,Team 1 Rushing Yards,Team 2 Rushing Yards,Team 1 YPC,Team 2 YPC,Team 1 Completion Percentage,Team 2 Completion Percentage,Team 1 YPA,Team 2 YPA,Team 1 Passing Yards,Team 2 Passing Yards,Team 1 Sack Yardage,Team 2 Sack Yardage,Team 1 3rd Down Conversion Rate,Team 2 3rd Down Conversion Rate,Team 1 Total Turnovers,Team 2 Total Turnovers,Team 1 Penalty Yardage,Team 2 Penalty Yardage
0,2017091400,14,LAC,DEN,21,24,0,1,64.0,140.0,2.9,3.9,66.7,60.7,5.6,6.5,185.0,181.0,-7.0,-38.0,25.0,53.3,1.0,2.0,40.0,62.0
1,2017091702,17,BUF,CAR,3,9,0,1,69.0,79.0,3.0,2.9,68.0,62.5,4.3,5.6,107.0,178.0,-18.0,-50.0,30.8,43.8,0.0,0.0,44.0,40.0
2,2017092408,39,NE,HOU,36,33,1,0,59.0,121.0,3.0,3.9,71.4,66.7,9.6,8.8,337.0,292.0,-41.0,-9.0,46.2,42.9,1.0,2.0,69.0,60.0
3,2017092412,43,GB,CIN,27,24,1,0,64.0,110.0,3.8,3.7,66.7,77.8,6.7,7.1,280.0,191.0,-33.0,-21.0,46.7,33.3,1.0,1.0,33.0,68.0
4,2017100112,59,TB,NYG,25,23,1,0,111.0,91.0,4.8,3.2,57.9,61.2,8.5,5.9,323.0,288.0,-9.0,0.0,27.3,47.1,0.0,0.0,19.0,0.0
5,2017100500,62,KC,WAS,29,20,1,0,136.0,111.0,4.4,4.3,73.0,58.3,7.1,9.2,261.0,220.0,-32.0,0.0,53.8,36.4,0.0,1.0,15.0,44.0
6,2017100800,63,TB,NE,14,19,0,1,90.0,113.0,4.5,4.9,56.5,75.0,6.9,7.2,319.0,289.0,-15.0,-14.0,30.8,33.3,0.0,2.0,70.0,108.0
7,2017100802,65,CLE,NYJ,14,17,0,1,140.0,34.0,4.2,1.9,66.7,76.7,7.8,5.9,279.0,178.0,-2.0,-16.0,42.9,33.3,3.0,1.0,60.0,80.0
8,2017101501,78,MIA,ATL,20,17,1,0,138.0,100.0,4.5,5.6,57.6,68.6,4.6,6.8,151.0,239.0,0.0,-9.0,41.7,54.5,1.0,1.0,42.0,73.0
9,2017101509,86,JAX,LA,17,27,0,1,169.0,142.0,6.5,4.4,65.7,52.4,6.3,5.1,220.0,107.0,-21.0,-17.0,26.7,30.8,1.0,1.0,40.0,70.0
10,2017102200,91,OAK,KC,31,30,1,0,88.0,94.0,4.2,4.1,55.8,69.4,8.0,9.2,417.0,331.0,0.0,-11.0,46.2,53.3,0.0,0.0,82.0,108.0
11,2017102903,109,CIN,IND,24,23,1,0,58.0,115.0,2.8,4.1,58.6,64.1,7.5,5.5,218.0,216.0,-25.0,-17.0,36.4,50.0,2.0,1.0,54.0,45.0
12,2017102909,115,SEA,HOU,41,38,1,0,33.0,142.0,1.6,4.2,63.4,63.3,10.9,12.2,446.0,367.0,-6.0,-35.0,33.3,20.0,1.0,3.0,120.0,93.0
13,2017110501,120,CAR,ATL,20,17,1,0,201.0,53.0,5.3,2.9,54.2,63.2,5.4,7.9,129.0,302.0,-8.0,-11.0,30.8,33.3,2.0,1.0,29.0,70.0
14,2017110509,128,SEA,WAS,14,17,0,1,148.0,51.0,5.3,2.2,53.3,67.7,6.4,6.2,289.0,193.0,-8.0,-54.0,35.7,30.8,2.0,1.0,138.0,62.0
15,2017111205,137,JAX,LAC,20,17,1,0,135.0,87.0,5.0,2.9,54.9,56.8,5.2,6.4,263.0,235.0,-10.0,0.0,27.8,20.0,2.0,2.0,106.0,77.0
16,2017111906,152,WAS,NO,31,34,0,1,156.0,160.0,4.7,7.0,68.8,70.7,9.4,9.1,300.0,375.0,-22.0,-10.0,33.3,33.3,0.0,1.0,67.0,54.0
17,2017112606,168,NYJ,CAR,27,35,0,1,109.0,145.0,4.2,4.4,52.8,39.3,7.8,5.5,282.0,154.0,-25.0,-14.0,35.7,21.4,1.0,0.0,68.0,84.0
18,2017112608,170,NO,LA,20,26,0,1,123.0,88.0,7.2,3.5,68.8,63.6,7.0,7.2,223.0,317.0,-23.0,-27.0,23.1,21.4,0.0,1.0,112.0,90.0
19,2017112700,174,GB,PIT,28,31,0,1,80.0,121.0,3.3,5.0,65.4,73.3,8.7,7.6,227.0,341.0,-18.0,-10.0,46.2,61.5,0.0,3.0,27.0,45.0
20,2017120305,181,GB,TB,26,20,1,0,199.0,165.0,6.9,4.7,59.1,65.6,3.5,7.2,77.0,230.0,-7.0,-40.0,41.7,56.2,1.0,1.0,47.0,74.0
21,2017121100,205,PIT,BAL,39,38,1,0,59.0,152.0,3.7,5.8,66.7,57.1,7.4,7.5,486.0,261.0,-20.0,-8.0,66.7,40.0,0.0,1.0,101.0,35.0
22,2017121710,219,NE,PIT,27,24,1,0,77.0,143.0,4.1,4.6,62.9,73.3,8.1,9.0,283.0,270.0,-15.0,-11.0,33.3,62.5,1.0,1.0,4.0,63.0
23,2017121711,220,TEN,SF,23,25,0,1,90.0,51.0,3.2,2.3,69.7,72.1,7.2,8.4,238.0,363.0,-3.0,-18.0,50.0,50.0,1.0,0.0,22.0,70.0
24,2017122401,225,CAR,TB,22,19,1,0,115.0,66.0,3.7,2.8,61.5,77.8,5.4,12.1,140.0,326.0,-20.0,-41.0,30.8,54.5,1.0,3.0,50.0,72.0
25,2017123111,249,NO,TB,24,31,0,1,92.0,106.0,3.5,3.9,73.3,54.9,7.7,6.8,231.0,345.0,-14.0,-18.0,50.0,72.2,1.0,3.0,38.0,15.0
